dc_bus,hosting_capacity_kw,hosting_capacity_MW,limiting_model,limiting_max_gpus
1,9945.6,9.9456,Llama-3.1-405B,7104
100,2450.0,2.45,Llama-3.1-8B,1750
101,2485.0,2.485,Llama-3.1-8B,1775
105,2455.6,2.4556,Llama-3.1-8B,1754
108,2445.8,2.4458,Llama-3.1-8B,1747
13,7219.8,7.2198,Llama-3.1-8B,5157
135,4032.0,4.032,Llama-3.1-405B,2880
151,1474.2,1.4742,Llama-3.1-8B,1053
152,7219.8,7.2198,Llama-3.1-8B,5157
160,2517.2,2.5172,Llama-3.1-8B,1798
18,4032.0,4.032,Llama-3.1-405B,2880
197,2504.6,2.5046,Llama-3.1-8B,1789
21,3694.6,3.6946,Llama-3.1-8B,2639
23,3557.4,3.5574,Llama-3.1-8B,2541
25,3294.2,3.2942,Llama-3.1-8B,2353
250,2318.4,2.3184,Llama-3.1-8B,1656
28,3123.4,3.1234,Llama-3.1-8B,2231
29,2854.6,2.8546,Llama-3.1-8B,2039
30,2416.4,2.4164,Llama-3.1-8B,1726
300,2182.6,2.1826,Llama-3.1-8B,1559
35,3129.0,3.129,Llama-3.1-8B,2235
40,2450.0,2.45,Llama-3.1-8B,1750
42,2214.8,2.2148000000000003,Llama-3.1-8B,1582
44,2079.0,2.079,Llama-3.1-8B,1485
450,2329.6,2.3296,Llama-3.1-405B,1664
47,1932.0,1.932,Llama-3.1-8B,1380
48,1918.0,1.918,Llama-3.1-8B,1370
49,1845.2,1.8452,Llama-3.1-8B,1318
50,1776.6,1.7766,Llama-3.1-8B,1269
51,1649.2,1.6492,Llama-3.1-8B,1178
52,4963.0,4.963,Llama-3.1-8B,3545
53,4362.4,4.3624,Llama-3.1-8B,3116
54,4060.0,4.06,Llama-3.1-8B,2900
55,3981.6,3.9816,Llama-3.1-8B,2844
56,3903.2,3.9032,Llama-3.1-8B,2788
57,3463.6,3.4636,Llama-3.1-8B,2474
60,2517.2,2.5172,Llama-3.1-8B,1798
61,2352.0,2.352,Llama-3.1-8B,1680
62,2114.0,2.114,Llama-3.1-8B,1510
63,1947.4,1.9474,Llama-3.1-8B,1391
64,1474.2,1.4742,Llama-3.1-8B,1053
65,1206.8,1.2067999999999999,Llama-3.1-8B,862
66,961.8,0.9618,Llama-3.1-8B,687
67,2486.4,2.4864,Llama-3.1-405B,1776
7,9945.6,9.9456,Llama-3.1-405B,7104
72,2485.0,2.485,Llama-3.1-8B,1775
76,2485.0,2.485,Llama-3.1-8B,1775
77,2485.0,2.485,Llama-3.1-8B,1775
78,2408.0,2.408,Llama-3.1-405B,1720
79,2450.0,2.45,Llama-3.1-8B,1750
8,9832.2,9.8322,Llama-3.1-8B,7023
80,2450.0,2.45,Llama-3.1-8B,1750
81,2450.0,2.45,Llama-3.1-8B,1750
82,2406.6,2.4066,Llama-3.1-8B,1719
83,2416.4,2.4164,Llama-3.1-8B,1726
86,2450.0,2.45,Llama-3.1-8B,1750
87,2416.4,2.4164,Llama-3.1-8B,1726
89,2329.6,2.3296,Llama-3.1-405B,1664
91,2391.2,2.3912,Llama-3.1-8B,1708
93,2182.6,2.1826,Llama-3.1-8B,1559
95,2182.6,2.1826,Llama-3.1-8B,1559
97,2504.6,2.5046,Llama-3.1-8B,1789
98,2485.0,2.485,Llama-3.1-8B,1775
99,2408.0,2.408,Llama-3.1-405B,1720
