scenario,hour,creg1a_tap,creg2a_tap,creg3a_tap,creg3c_tap,creg4a_tap,creg4b_tap,creg4c_tap,creg1a_pu,creg2a_pu,creg3a_pu,creg3c_pu,creg4a_pu,creg4b_pu,creg4c_pu
summer,0,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,1,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,2,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,3,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,4,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,5,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,6,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,7,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,8,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,9,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,10,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,11,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,12,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,13,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,14,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,15,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,16,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,17,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,18,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,19,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,20,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
summer,21,7,-3,-3,-3,6,-5,-2,1.04375,0.98125,0.98125,0.98125,1.03750,0.96875,0.98750
