scenario,hour,creg1a_tap,creg2a_tap,creg3a_tap,creg3c_tap,creg4a_tap,creg4b_tap,creg4c_tap,creg1a_pu,creg2a_pu,creg3a_pu,creg3c_pu,creg4a_pu,creg4b_pu,creg4c_pu
summer,0,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,1,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,2,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,3,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,4,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,5,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,6,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,7,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,8,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,9,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,10,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,11,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,12,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,13,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,14,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,15,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,16,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,17,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,18,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,19,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,20,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,21,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,22,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer,23,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,0,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,1,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,2,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,3,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,4,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,5,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,6,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,7,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,8,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,9,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,10,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,11,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,12,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,13,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,14,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,15,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,16,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,17,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,18,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,19,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,20,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,21,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,22,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
summer_cloudy,23,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,0,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,1,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,2,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,3,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,4,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,5,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,6,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,7,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,8,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,9,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,10,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,11,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,12,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,13,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,14,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,15,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,16,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,17,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,18,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,19,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,20,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,21,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,22,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
spring,23,5,-3,-3,-3,6,-7,-4,1.03125,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
autumn_cloudy,0,6,-3,-3,-3,6,-7,-4,1.03750,0.98125,0.98125,0.98125,1.03750,0.95625,0.97500
