bus_z1_sw,bus_z2_nw,bus_z3_se,bus_z4_ne,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s
7,30,57,105,319.69999999970923,1.6063460030230912,0.9463616508579542,1.0519687703835727,27.73827209999581
7,29,57,105,321.99999999970714,1.6028721574383658,0.9463757176017257,1.0519824754162752,27.241935500002
7,28,57,105,323.09999999970614,1.5969657103718573,0.9464412054498113,1.0520012704830872,27.61142409999593
7,25,57,105,326.1999999997033,1.5864691806687063,0.9464592629617479,1.052020317255724,26.696331200000714
7,51,57,105,327.0999999997025,1.735744682015368,0.9462384710308317,1.0520112934155332,26.515438699992956
7,23,57,105,331.1999999996988,1.5816904490317156,0.9459260581798647,1.051999279922048,28.287793400006194
7,50,57,105,332.7999999996973,1.7249411381722568,0.9462692473386116,1.05200589263455,28.212634000003163
7,21,57,105,333.8999999996963,1.5699674721247725,0.945949677817245,1.0520247559117508,30.94720740000048
7,35,57,105,335.5999999996948,1.6085493238630015,0.9459133535914147,1.05204252591731,26.98842169999989
7,42,57,105,336.0999999996943,1.6606370348119417,0.9458520404192677,1.0520481628644203,27.12217409999721
7,49,57,105,336.1999999996942,1.7154674610354148,0.9463429358281984,1.0520347831303902,27.167498499999056
7,40,57,105,336.39999999969405,1.6333155185755122,0.9458834975452097,1.0520459188164353,26.957478200005426
7,44,57,105,337.2999999996932,1.680892505256434,0.9460324844228131,1.052052304952118,26.96730170000228
7,47,57,105,337.8999999996927,1.7037092680408576,0.9460133319221355,1.0520678930817864,27.915709900000365
7,48,57,105,340.99999999968986,1.7139329952017437,0.9458031323833314,1.0520840622825527,26.312888299995393
