dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations,tap_reg1_20pct,tap_reg2_20pct,tap_reg3_20pct,tap_reg1_40pct,tap_reg2_40pct,tap_reg3_40pct,tap_reg1_60pct,tap_reg2_60pct,tap_reg3_60pct,tap_reg1_80pct,tap_reg2_80pct,tap_reg3_80pct,tap_reg1_100pct,tap_reg2_100pct,tap_reg3_100pct
632,Llama-3.1-8B,6904,6904,9665.6,9.6656,12,14,6,15,14,6,15,14,6,15,15,7,15,16,8,16
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,10,14,6,15,14,6,15,14,6,15,14,6,15,15,7,15
632,Llama-3.1-405B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,15,8,16
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,11,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
633,Llama-3.1-8B,5147,5147,7205.8,7.2058,12,14,6,15,14,6,15,14,8,15,14,9,15,15,10,16
633,Llama-3.1-70B,1409,5636,7890.4,7.8904,10,14,6,15,14,6,15,14,7,15,14,9,15,15,10,16
633,Llama-3.1-405B,686,5488,7683.2,7.6832,9,14,6,15,14,7,15,14,8,15,14,9,15,15,10,16
633,Qwen3-30B-A3B,3044,6088,8523.2,8.523200000000001,11,14,6,15,14,7,15,14,9,15,14,9,15,15,10,16
633,Qwen3-235B-A22B,760,6080,8512.0,8.512,9,14,6,15,14,7,15,14,8,15,15,9,15,15,10,16
670,Llama-3.1-8B,5178,5178,7249.2,7.2492,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
670,Llama-3.1-70B,1419,5676,7946.4,7.9464,10,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
670,Llama-3.1-405B,693,5544,7761.6,7.7616000000000005,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
670,Qwen3-30B-A3B,3069,6138,8593.2,8.593200000000001,11,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
670,Qwen3-235B-A22B,767,6136,8590.4,8.590399999999999,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
671,Llama-3.1-8B,3359,3359,4702.6,4.7026,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
671,Llama-3.1-70B,922,3688,5163.2,5.1632,10,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
671,Llama-3.1-405B,448,3584,5017.6,5.017600000000001,9,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
671,Qwen3-30B-A3B,1989,3978,5569.2,5.5691999999999995,11,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
671,Qwen3-235B-A22B,496,3968,5555.2,5.5552,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
675,Llama-3.1-8B,3036,3036,4250.4,4.2504,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
675,Llama-3.1-70B,832,3328,4659.2,4.6592,10,14,6,15,14,6,15,14,6,15,14,6,16,16,6,16
675,Llama-3.1-405B,402,3216,4502.4,4.5024,9,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
675,Qwen3-30B-A3B,1777,3554,4975.6,4.9756,11,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
675,Qwen3-235B-A22B,444,3552,4972.8,4.9728,9,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
680,Llama-3.1-8B,2848,2848,3987.2,3.9871999999999996,12,14,6,14,14,6,15,14,6,15,15,6,15,16,6,16
680,Llama-3.1-70B,783,3132,4384.8,4.3848,10,14,6,15,14,6,15,14,6,15,15,6,15,15,6,16
680,Llama-3.1-405B,381,3048,4267.2,4.2672,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
680,Qwen3-30B-A3B,1683,3366,4712.4,4.7124,11,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
680,Qwen3-235B-A22B,420,3360,4704.0,4.704,9,14,6,15,14,6,15,14,6,15,14,6,15,15,6,16
692,Llama-3.1-8B,3359,3359,4702.6,4.7026,12,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
692,Llama-3.1-70B,922,3688,5163.2,5.1632,10,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
692,Llama-3.1-405B,448,3584,5017.6,5.017600000000001,9,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
692,Qwen3-30B-A3B,1989,3978,5569.2,5.5691999999999995,11,14,6,15,14,6,15,14,6,15,14,6,15,16,6,16
692,Qwen3-235B-A22B,496,3968,5555.2,5.5552,9,14,6,15,14,6,15,14,6,15,15,6,15,16,6,16
