dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations,tap_reg1_20pct,tap_reg2_20pct,tap_reg3_20pct,tap_reg1_40pct,tap_reg2_40pct,tap_reg3_40pct,tap_reg1_60pct,tap_reg2_60pct,tap_reg3_60pct,tap_reg1_80pct,tap_reg2_80pct,tap_reg3_80pct,tap_reg1_100pct,tap_reg2_100pct,tap_reg3_100pct
632,Llama-3.1-8B,7138,7138,9993.2,9.9932,12,14,6,15,14,6,15,14,6,15,15,7,16,16,8,16
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,10,14,6,15,14,6,15,14,6,15,14,6,15,15,7,15
632,Llama-3.1-405B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,15,8,16
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,11,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,9,14,6,15,14,6,15,14,6,15,14,6,15,14,7,15
633,Llama-3.1-8B,5603,5603,7844.2,7.8442,12,14,6,15,14,6,15,14,8,15,15,10,16,16,11,16
633,Llama-3.1-70B,1537,6148,8607.2,8.6072,10,14,6,15,14,7,15,14,9,15,15,10,16,16,11,16
633,Llama-3.1-405B,749,5992,8388.8,8.3888,9,14,6,15,14,8,15,14,9,15,15,10,16,16,11,16
633,Qwen3-30B-A3B,3306,6612,9256.8,9.2568,11,14,7,15,14,9,15,14,10,15,15,11,16,16,12,16
633,Qwen3-235B-A22B,825,6600,9240.0,9.24,9,14,7,15,14,8,15,14,10,15,15,11,16,16,11,16
670,Llama-3.1-8B,5450,5450,7630.0,7.63,12,14,6,15,14,6,15,14,6,15,15,6,16,16,7,16
670,Llama-3.1-70B,1495,5980,8372.0,8.372,10,14,6,15,14,6,15,14,6,15,15,6,16,16,7,16
670,Llama-3.1-405B,728,5824,8153.6,8.1536,9,14,6,15,14,6,15,14,6,15,15,6,15,16,7,16
670,Qwen3-30B-A3B,3218,6436,9010.4,9.010399999999999,11,14,6,15,14,6,15,14,6,15,15,6,16,16,7,16
670,Qwen3-235B-A22B,804,6432,9004.8,9.0048,9,14,6,15,14,6,15,14,6,15,15,6,16,16,7,16
671,Llama-3.1-8B,3569,3569,4996.6,4.9966,12,14,6,15,14,6,15,15,6,15,16,6,16,16,6,16
671,Llama-3.1-70B,981,3924,5493.6,5.493600000000001,10,14,6,15,14,6,15,15,6,15,15,6,16,16,6,16
671,Llama-3.1-405B,478,3824,5353.6,5.3536,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
671,Qwen3-30B-A3B,2107,4214,5899.6,5.8996,11,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
671,Qwen3-235B-A22B,527,4216,5902.4,5.902399999999999,9,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
675,Llama-3.1-8B,3359,3359,4702.6,4.7026,12,14,6,15,14,6,15,14,6,15,16,6,16,16,8,16
675,Llama-3.1-70B,925,3700,5180.0,5.18,10,14,6,15,14,6,15,15,6,15,16,6,16,16,7,16
675,Llama-3.1-405B,448,3584,5017.6,5.017600000000001,9,14,6,15,14,6,15,15,6,15,16,6,16,16,7,16
675,Qwen3-30B-A3B,1978,3956,5538.4,5.538399999999999,11,14,6,15,14,6,15,16,6,15,16,6,16,16,7,16
675,Qwen3-235B-A22B,496,3968,5555.2,5.5552,9,14,6,15,14,6,15,16,6,15,16,6,16,16,7,16
680,Llama-3.1-8B,3203,3203,4484.2,4.4841999999999995,12,14,6,15,14,6,15,15,6,15,16,6,16,16,7,16
680,Llama-3.1-70B,874,3496,4894.4,4.894399999999999,10,14,6,15,14,6,15,14,6,15,16,6,16,16,7,16
680,Llama-3.1-405B,427,3416,4782.4,4.7824,9,14,6,15,14,6,15,14,6,15,16,6,16,16,7,16
680,Qwen3-30B-A3B,1878,3756,5258.4,5.2584,11,14,6,15,14,6,15,14,6,15,16,6,16,16,7,16
680,Qwen3-235B-A22B,471,3768,5275.2,5.2752,9,14,6,15,14,6,15,14,6,16,16,6,16,16,7,16
692,Llama-3.1-8B,3569,3569,4996.6,4.9966,12,14,6,15,14,6,15,15,6,15,16,6,16,16,6,16
692,Llama-3.1-70B,981,3924,5493.6,5.493600000000001,10,14,6,15,14,6,15,15,6,15,15,6,16,16,6,16
692,Llama-3.1-405B,478,3824,5353.6,5.3536,9,14,6,15,14,6,15,14,6,15,15,6,16,16,6,16
692,Qwen3-30B-A3B,2107,4214,5899.6,5.8996,11,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
692,Qwen3-235B-A22B,527,4216,5902.4,5.902399999999999,9,14,6,15,14,6,15,14,6,16,16,6,16,16,6,16
