dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
632,Llama-3.1-8B,6944,6944,9721.6,9.7216,6
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
632,Llama-3.1-405B,888,7104,9945.6,9.9456,0
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
633,Llama-3.1-8B,5147,5147,7205.8,7.2058,9
633,Llama-3.1-70B,1409,5636,7890.4,7.8904,6
633,Llama-3.1-405B,686,5488,7683.2,7.6832,6
633,Qwen3-30B-A3B,3044,6088,8523.2,8.523200000000001,7
633,Qwen3-235B-A22B,760,6080,8512.0,8.512,5
670,Llama-3.1-8B,5472,5472,7660.8,7.6608,9
670,Llama-3.1-70B,1419,5676,7946.4,7.9464,6
670,Llama-3.1-405B,732,5856,8198.4,8.1984,6
670,Qwen3-30B-A3B,3076,6152,8612.8,8.6128,7
670,Qwen3-235B-A22B,767,6136,8590.4,8.590399999999999,5
671,Llama-3.1-8B,3598,3598,5037.2,5.0371999999999995,10
671,Llama-3.1-70B,935,3740,5236.0,5.236,8
671,Llama-3.1-405B,478,3824,5353.6,5.3536,7
671,Qwen3-30B-A3B,2028,4056,5678.4,5.6784,9
671,Qwen3-235B-A22B,502,4016,5622.4,5.6224,7
675,Llama-3.1-8B,3240,3240,4536.0,4.536,10
675,Llama-3.1-70B,839,3356,4698.4,4.6983999999999995,8
675,Llama-3.1-405B,432,3456,4838.4,4.8384,7
675,Qwen3-30B-A3B,1833,3666,5132.4,5.1324,9
675,Qwen3-235B-A22B,454,3632,5084.8,5.0848,7
680,Llama-3.1-8B,3111,3111,4355.4,4.3553999999999995,10
680,Llama-3.1-70B,802,3208,4491.2,4.4912,8
680,Llama-3.1-405B,416,3328,4659.2,4.6592,7
680,Qwen3-30B-A3B,1745,3490,4886.0,4.886,9
680,Qwen3-235B-A22B,437,3496,4894.4,4.894399999999999,7
692,Llama-3.1-8B,3598,3598,5037.2,5.0371999999999995,10
692,Llama-3.1-70B,935,3740,5236.0,5.236,8
692,Llama-3.1-405B,478,3824,5353.6,5.3536,7
692,Qwen3-30B-A3B,2028,4056,5678.4,5.6784,9
692,Qwen3-235B-A22B,502,4016,5622.4,5.6224,7
