dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations,tap_creg1a_20pct,tap_creg1b_20pct,tap_creg1c_20pct,tap_creg2a_20pct,tap_creg2b_20pct,tap_creg2c_20pct,tap_creg1a_40pct,tap_creg1b_40pct,tap_creg1c_40pct,tap_creg2a_40pct,tap_creg2b_40pct,tap_creg2c_40pct,tap_creg1a_60pct,tap_creg1b_60pct,tap_creg1c_60pct,tap_creg2a_60pct,tap_creg2b_60pct,tap_creg2c_60pct,tap_creg1a_80pct,tap_creg1b_80pct,tap_creg1c_80pct,tap_creg2a_80pct,tap_creg2b_80pct,tap_creg2c_80pct,tap_creg1a_100pct,tap_creg1b_100pct,tap_creg1c_100pct,tap_creg2a_100pct,tap_creg2b_100pct,tap_creg2c_100pct
814r,Llama-3.1-8B,2753,2753,3854.2,3.8541999999999996,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
814r,Llama-3.1-70B,737,2948,4127.2,4.1272,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
814r,Llama-3.1-405B,367,2936,4110.4,4.110399999999999,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
814r,Qwen3-30B-A3B,1581,3162,4426.8,4.4268,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
814r,Qwen3-235B-A22B,395,3160,4424.0,4.424,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
816,Llama-3.1-8B,2736,2736,3830.4,3.8304,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
816,Llama-3.1-70B,748,2992,4188.8,4.1888000000000005,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
816,Llama-3.1-405B,364,2912,4076.8,4.0768,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
816,Qwen3-30B-A3B,1606,3212,4496.8,4.4968,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
816,Qwen3-235B-A22B,395,3160,4424.0,4.424,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
824,Llama-3.1-8B,2437,2437,3411.8,3.4118000000000004,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
824,Llama-3.1-70B,651,2604,3645.6,3.6456,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
824,Llama-3.1-405B,326,2608,3651.2,3.6512,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
824,Qwen3-30B-A3B,1400,2800,3920.0,3.92,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
824,Qwen3-235B-A22B,350,2800,3920.0,3.92,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
828,Llama-3.1-8B,2416,2416,3382.4,3.3824,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
828,Llama-3.1-70B,661,2644,3701.6,3.7016,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,12,8,8,8,8,8
828,Llama-3.1-405B,323,2584,3617.6,3.6176,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,12,8,8,8,8,8
828,Qwen3-30B-A3B,1390,2780,3892.0,3.892,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
828,Qwen3-235B-A22B,346,2768,3875.2,3.8752,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
830,Llama-3.1-8B,1966,1966,2752.4,2.7524,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,12,8,8,8,8,8
830,Llama-3.1-70B,526,2104,2945.6,2.9455999999999998,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
830,Llama-3.1-405B,256,2048,2867.2,2.8672,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
830,Qwen3-30B-A3B,1132,2264,3169.6,3.1696,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,11,8,8,8,8,8
830,Qwen3-235B-A22B,284,2272,3180.8,3.1808,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8
832,Llama-3.1-8B,1269,1269,1776.6,1.7766,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
832,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
832,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
832,Qwen3-30B-A3B,742,1484,2077.6,2.0776,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
832,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
834,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
834,Llama-3.1-70B,341,1364,1909.6,1.9096,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
834,Llama-3.1-405B,166,1328,1859.2,1.8592,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
834,Qwen3-30B-A3B,738,1476,2066.4,2.0664000000000002,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
834,Qwen3-235B-A22B,184,1472,2060.8,2.0608,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
836,Llama-3.1-8B,1248,1248,1747.2,1.7472,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
