scenario,hour,creg1a_tap,creg1b_tap,creg1c_tap,creg2a_tap,creg2b_tap,creg2c_tap,creg1a_pu,creg1b_pu,creg1c_pu,creg2a_pu,creg2b_pu,creg2c_pu
summer,0,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,1,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,2,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,3,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,4,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,5,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,6,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,7,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,8,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,9,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,10,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,11,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,12,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,13,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,14,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,15,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,16,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,17,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,18,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,19,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,20,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,21,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,22,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer,23,3,0,0,3,5,6,1.01875,1.00000,1.00000,1.01875,1.03125,1.03750
summer_cloudy,0,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,1,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,2,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,3,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,4,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,5,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,6,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,7,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,8,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,9,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,10,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,11,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,12,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,13,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,14,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,15,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,16,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,17,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,18,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,19,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,20,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,21,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,22,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
summer_cloudy,23,3,0,0,0,0,0,1.01875,1.00000,1.00000,1.00000,1.00000,1.00000
spring,0,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,1,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,2,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,3,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,4,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,5,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,6,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,7,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,8,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,9,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,10,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,11,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,12,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,13,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,14,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,15,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,16,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,17,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,18,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,19,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,20,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,21,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,22,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
spring,23,3,0,0,4,5,6,1.01875,1.00000,1.00000,1.02500,1.03125,1.03750
autumn_cloudy,0,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,1,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,2,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,3,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,4,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,5,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,6,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,7,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,8,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,9,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,10,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,11,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,12,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,13,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,14,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,15,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,16,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,17,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,18,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,19,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,20,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,21,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,22,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
autumn_cloudy,23,2,0,0,0,0,0,1.01250,1.00000,1.00000,1.00000,1.00000,1.00000
winter,0,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,1,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,2,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,3,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,4,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,5,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,6,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,7,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
winter,8,3,0,0,3,6,6,1.01875,1.00000,1.00000,1.01875,1.03750,1.03750
